season_start_year,season_string_fixed,salary_cap,luxury_tax
1984.0,1984-85,3600000.0,9793069.0
1985.0,1985-86,4233000.0,11298280.0
1986.0,1986-87,4945000.0,12734751.0
1987.0,1987-88,6164000.0,15248702.0
1988.0,1988-89,7232000.0,17069461.0
1989.0,1989-90,9802000.0,21950887.0
1990.0,1990-91,11871000.0,25499592.0
1991.0,1991-92,12500000.0,26061180.0
1992.0,1992-93,14000000.0,28354756.0
1993.0,1993-94,15175000.0,29954782.0
1994.0,1994-95,15964000.0,30651995.0
1995.0,1995-96,23000000.0,42906004.0
1996.0,1996-97,24363000.0,44402880.0
1997.0,1997-98,26900000.0,48285994.0
1998.0,1998-99,30000000.0,52688773.0
1999.0,1999-00,34000000.0,57763864.0
2000.0,2000-01,35500000.0,58657395.0
2001.0,2001-02,42500000.0,69132284.0
2002.0,2002-03,40271000.0,64048956.0
2003.0,2003-04,43840000.0,67907202.0
2004.0,2004-05,43870000.0,65719039.0
2005.0,2005-06,49500000.0,71839551.0
2006.0,2006-07,53135000.0,74973988.0
2007.0,2007-08,55630000.0,75594893.0
2008.0,2008-09,58680000.0,80023973.0
2009.0,2009-10,57700000.0,77414680.0
2010.0,2010-11,58044000.0,75491545.0
2011.0,2011-12,58044000.0,73970553.0
2012.0,2012-13,58044000.0,72903264.0
2013.0,2013-14,58679000.0,72519787.0
2014.0,2014-15,63065000.0,77841847.0
2015.0,2015-16,70000000.0,85323721.0
2016.0,2016-17,94143000.0,112368348.0
2017.0,2017-18,99093000.0,115455294.0
2018.0,2018-19,101869000.0,116573245.0
2019.0,2019-20,109140000.0,123384194.0
2020.0,2020-21,109140000.0,117838496.0
2021.0,2021-22,112414000.0,112414000.0
2022.0,2022-23,123655000.0,
2023.0,2023-24,136021000.0,
2024.0,2024-25,140588000.0,
2025.0,2025-26,154647000.0,
