column_name,missing_count,missing_pct,non_missing_count,field_role,recommended_for_baseline_model,source_table
shotstyle_y1_to_y4_displacement,484,0.45746691871455575,574,numeric_predictor,1,player_identity_drift_table.csv
box_role_y1_to_y4_displacement,410,0.387523629489603,648,numeric_predictor,1,player_identity_drift_table.csv
shotstyle_total_path_length,229,0.21644612476370512,829,numeric_predictor,1,player_identity_drift_table.csv
box_role_total_path_length,135,0.1275992438563327,923,numeric_predictor,1,player_identity_drift_table.csv
embedding_aggregation,94,0.0888468809073724,964,categorical_predictor,1,player_identity_drift_table.csv
observed_shot_seasons,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
seasons_with_embeddings,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_1,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_10,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_11,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_12,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_13,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_14,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_15,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_16,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_17,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_18,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_19,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_2,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_20,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_21,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_22,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_23,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_24,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_3,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_4,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_5,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_6,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_7,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_8,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_emb_9,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_style_entropy,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_style_prob_0,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_style_prob_1,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_style_prob_2,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_style_prob_3,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_style_prob_4,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_style_subtype,94,0.0888468809073724,964,categorical_predictor,1,player_identity_drift_table.csv
shot_style_subtype_changes,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
shot_style_subtype_id,94,0.0888468809073724,964,categorical_predictor,1,player_identity_drift_table.csv
shot_style_subtype_probability,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
total_shot_attempts_covered,94,0.0888468809073724,964,numeric_predictor,1,player_identity_drift_table.csv
cluster_0_onehot_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
cluster_1_onehot_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
cluster_2_onehot_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
cluster_3_onehot_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
cluster_4_onehot_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
cluster_archetype_k5,0,0.0,1058,categorical_predictor,1,player_identity_drift_table.csv
dist_to_cluster_0_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
dist_to_cluster_1_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
dist_to_cluster_2_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
dist_to_cluster_3_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
dist_to_cluster_4_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
hybrid_archetype_label,0,0.0,1058,categorical_predictor,1,player_identity_drift_table.csv
identity_drift_class,0,0.0,1058,categorical_predictor,1,player_identity_drift_table.csv
macro_cluster_id,0,0.0,1058,categorical_predictor,1,player_identity_drift_table.csv
observed_boxscore_seasons,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
own_cluster_distance,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_10,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_11,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_12,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_13,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_14,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_15,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_16,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_17,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_18,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_19,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_1_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_20,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_21,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_22,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_23,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_24,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_2_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_3_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_4_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_5_k5,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_6,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_7,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_8,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
pca_9,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
prototype_ambiguity_ratio,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
prototype_fit_rank_distance,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
prototype_margin_second_minus_first,0,0.0,1058,numeric_predictor,1,player_identity_drift_table.csv
holdout_reason,1055,0.997164461247637,3,training_meta,0,salary_demo_player_holdout_manifest.csv
any_player_option,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
any_qualifying_offer,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
any_team_option,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
any_terminated,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
any_two_way_contract,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
raw_salary_rows,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
raw_team_count,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
salary_player_name_example,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
year5_salary_cap_pct,393,0.3714555765595463,665,target,0,year5_salary_target_table.csv
year_salary_total,393,0.3714555765595463,665,target_audit_context,0,year5_salary_target_table.csv
luxury_tax,115,0.10869565217391304,943,target_audit_context,0,year5_salary_target_table.csv
DRAFT_YEAR,94,0.0888468809073724,964,redundant_meta,0,player_identity_drift_table.csv
comp_based_interpretation,94,0.0888468809073724,964,context_or_other,0,final_player_archetype_profile_table.csv
PLAYER_ID,0,0.0,1058,identifier,0,year5_salary_target_table.csv
PLAYER_NAME,0,0.0,1058,identifier,0,year5_salary_target_table.csv
cap_match_flag,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
draft_year,0,0.0,1058,identifier,0,year5_salary_target_table.csv
holdout_for_case_study,0,0.0,1058,training_meta,0,salary_demo_player_holdout_manifest.csv
modeling_row_status,0,0.0,1058,training_meta,0,derived_phase5
name_key,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
name_key_raw,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
salary_cap,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
salary_match_type,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
salary_name_match_flag,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
split_group_draft_year,0,0.0,1058,training_meta,0,derived_phase5
supporting_shot_style_explanation,0,0.0,1058,context_or_other,0,final_player_archetype_profile_table.csv
target_observed_flag,0,0.0,1058,training_meta,0,derived_phase5
training_eligible_flag,0,0.0,1058,training_meta,0,derived_phase5
year5_salary_match_flag,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
year5_season_start,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
year5_season_string,0,0.0,1058,target_audit_context,0,year5_salary_target_table.csv
