PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,low_volume_lt50_flag,low_volume_lt100_flag
947,Allen Iverson,1996,1,1996-97,76,1504,625,0.41555851063829785,0,0
947,Allen Iverson,1996,2,1997-98,80,1407,649,0.4612651030561478,0,0
947,Allen Iverson,1996,3,1998-99,48,1056,435,0.4119318181818182,0,0
947,Allen Iverson,1996,4,1999-00,70,1733,729,0.42065781881130987,0,0
951,Ray Allen,1996,1,1996-97,82,908,390,0.42951541850220265,0,0
951,Ray Allen,1996,2,1997-98,82,1315,563,0.4281368821292776,0,0
951,Ray Allen,1996,3,1998-99,50,673,303,0.45022288261515603,0,0
951,Ray Allen,1996,4,1999-00,82,1411,642,0.45499645641389086,0,0
959,Steve Nash,1996,1,1996-97,55,175,74,0.4228571428571429,0,0
959,Steve Nash,1996,2,1997-98,73,584,268,0.4589041095890411,0,0
959,Steve Nash,1996,3,1998-99,40,314,114,0.3630573248407643,0,0
959,Steve Nash,1996,4,1999-00,56,363,173,0.4765840220385675,0,0
977,Kobe Bryant,1996,1,1996-97,67,422,176,0.41706161137440756,0,0
977,Kobe Bryant,1996,2,1997-98,79,913,391,0.42825848849945236,0,0
977,Kobe Bryant,1996,3,1998-99,50,779,362,0.46469833119383824,0,0
977,Kobe Bryant,1996,4,1999-00,66,1183,554,0.46830092983939137,0,0
1495,Tim Duncan,1997,1,1997-98,82,1287,706,0.5485625485625486,0,0
1495,Tim Duncan,1997,2,1998-99,50,845,418,0.49467455621301776,0,0
1495,Tim Duncan,1997,3,1999-00,74,1281,628,0.49024199843871974,0,0
1495,Tim Duncan,1997,4,2000-01,82,1406,702,0.4992887624466572,0,0
1497,Chauncey Billups,1997,1,1997-98,80,749,280,0.37383177570093457,0,0
1497,Chauncey Billups,1997,2,1998-99,45,495,191,0.38585858585858585,0,0
1497,Chauncey Billups,1997,3,1999-00,13,101,34,0.33663366336633666,0,0
1497,Chauncey Billups,1997,4,2000-01,75,587,248,0.42248722316865417,0,0
1503,Tracy McGrady,1997,1,1997-98,59,398,179,0.44974874371859297,0,0
1503,Tracy McGrady,1997,2,1998-99,47,385,168,0.43636363636363634,0,0
1503,Tracy McGrady,1997,3,1999-00,79,1018,459,0.45088408644400785,0,0
1503,Tracy McGrady,1997,4,2000-01,77,1724,788,0.45707656612529,0,0
1713,Vince Carter,1998,1,1998-99,50,766,345,0.45039164490861616,0,0
1713,Vince Carter,1998,2,1999-00,82,1696,788,0.46462264150943394,0,0
1713,Vince Carter,1998,3,2000-01,75,1656,762,0.4601449275362319,0,0
1713,Vince Carter,1998,4,2001-02,60,1307,559,0.42769701606732974,0,0
1717,Dirk Nowitzki,1998,1,1998-99,47,336,136,0.40476190476190477,0,0
1717,Dirk Nowitzki,1998,2,1999-00,82,1118,515,0.4606440071556351,0,0
1717,Dirk Nowitzki,1998,3,2000-01,82,1247,591,0.4739374498797113,0,0
1717,Dirk Nowitzki,1998,4,2001-02,76,1258,600,0.4769475357710652,0,0
1718,Paul Pierce,1998,1,1998-99,48,647,284,0.43894899536321486,0,0
1718,Paul Pierce,1998,2,1999-00,73,1099,486,0.4422202001819836,0,0
1718,Paul Pierce,1998,3,2000-01,82,1513,687,0.4540647719762062,0,0
1718,Paul Pierce,1998,4,2001-02,82,1598,707,0.44242803504380473,0,0
1938,Manu Ginobili,1999,2,2003-04,77,789,330,0.41825095057034223,0,0
1938,Manu Ginobili,1999,3,2004-05,74,780,367,0.4705128205128205,0,0
