PERSON_ID,PLAYER_NAME,SEASON
203076,Anthony Davis,2012
202695,Kawhi Leonard,2011
201935,James Harden,2009
201939,Stephen Curry,2009
201566,Russell Westbrook,2008
201142,Kevin Durant,2007
101108,Chris Paul,2005
2730,Dwight Howard,2004
2544,LeBron James,2003
2546,Carmelo Anthony,2003
2547,Chris Bosh,2003
2548,Dwyane Wade,2003
2397,Yao Ming,2002
2200,Pau Gasol,2001
2225,Tony Parker,2001
1938,Manu Ginobili,1999
1713,Vince Carter,1998
1717,Dirk Nowitzki,1998
1718,Paul Pierce,1998
1495,Tim Duncan,1997
1497,Chauncey Billups,1997
1503,Tracy McGrady,1997
947,Allen Iverson,1996
951,Ray Allen,1996
977,Kobe Bryant,1996
959,Steve Nash,1996
708,Kevin Garnett,1995
467,Jason Kidd,1994
255,Grant Hill,1994
185,Chris Webber,1993
406,Shaquille O'Neal,1992
297,Alonzo Mourning,1992
87,Dikembe Mutombo,1991
56,Gary Payton,1990
389,Toni Kukoc,1990
